모델명,LOT NO.,작업자,SPEC,생산수량,GOOD,NG,Yield(%)
SOFC_B07,260827-B03,김영희,0.41,3,3,0,100.00

NO,판정결과,RAWDATA개수,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
1,GOOD,75,0.115,0.190,0.260,0.305,0.315,0.320,0.325,0.325,0.330,0.335,0.335,0.340,0.345,0.345,0.345,0.350,0.355,0.355,0.355,0.360,0.370,0.370,0.370,0.375,0.380,0.380,0.380,0.385,0.390,0.390,0.390,0.395,0.400,0.400,0.405,0.410,0.410,0.410,0.415,0.420,0.420,0.425,0.430,0.430,0.430,0.435,0.435,0.445,0.445,0.445,0.450,0.450,0.450,0.455,0.455,0.460,0.460,0.465,0.470,0.470,0.470,0.475,0.480,0.480,0.480,0.485,0.485,0.485,0.495,0.495,0.495,0.495,0.495,0.495,0.505
2,GOOD,41,0.005,0.025,0.085,0.145,0.215,0.285,0.315,0.315,0.325,0.325,0.325,0.325,0.330,0.335,0.335,0.340,0.345,0.345,0.350,0.355,0.355,0.355,0.365,0.365,0.365,0.365,0.375,0.375,0.375,0.385,0.385,0.385,0.385,0.395,0.395,0.395,0.395,0.405,0.405,0.405,0.410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,GOOD,40,-0.005,0.025,0.085,0.140,0.210,0.280,0.315,0.315,0.315,0.325,0.325,0.325,0.325,0.335,0.335,0.335,0.335,0.340,0.345,0.345,0.350,0.360,0.360,0.360,0.365,0.370,0.370,0.370,0.375,0.380,0.380,0.380,0.390,0.390,0.390,0.390,0.395,0.400,0.400,0.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
